ranking,title,location,continent
1,University of Oxford,United Kingdom,Europe
2,Stanford University,United States,America
3,Harvard University,United States,America
4,California Institute of Technology,United States,America
5,Massachusetts Institute of Technology,United States,America
6,University of Cambridge,United Kingdom,Europe
7,"University of California, Berkeley",United States,America
8,Yale University,United States,America
9,Princeton University,United States,America
10,The University of Chicago,United States,America
11,Imperial College London,United Kingdom,Europe
12,Johns Hopkins University,United States,America
13,University of Pennsylvania,United States,America
14,ETH Zurich,Switzerland,Europe
15,"University of California, Los Angeles",United States,America
16,UCL,United Kingdom,Europe
17,Columbia University,United States,America
18,University of Toronto,Canada,America
19,Cornell University,United States,America
20,Duke University,United States,America
21,Tsinghua University,China,Asia
22,University of Michigan-Ann Arbor,United States,America
23,Peking University,China,Asia
24,Northwestern University,United States,America
25,National University of Singapore,Singapore,Asia
26,New York University,United States,America
27,London School of Economics and Political Science,United Kingdom,Europe
28,Carnegie Mellon University,United States,America
29,University of Washington,United States,America
30,University of Edinburgh,United Kingdom,Europe
31,University of Melbourne,Australia,Oceania
32,LMU Munich,Germany,Europe
33,"University of California, San Diego",United States,America
34,University of British Columbia,Canada,America
35,King’s College London,United Kingdom,Europe
36,Karolinska Institute,Sweden,Europe
37,The University of Tokyo,Japan,Asia
38,Georgia Institute of Technology,United States,America
39,University of Hong Kong,Hong Kong,Asia
40,McGill University,Canada,America
41,Technical University of Munich,Germany,Europe
42,Heidelberg University,Germany,Europe
43,École Polytechnique Fédérale de Lausanne,Switzerland,Europe
44,University of Texas at Austin,United States,America
45,KU Leuven,Belgium,Europe
46,Paris Sciences et Lettres – PSL Research University Paris,France,Europe
47,"Nanyang Technological University, Singapore",Singapore,Asia
48,University of Illinois at Urbana-Champaign,United States,America
49,University of Wisconsin-Madison,United States,America
50,Washington University in St Louis,United States,America
51,University of Manchester,United Kingdom,Europe
52,University of Sydney,Australia,Oceania
53,University of Southern California,United States,America
54,Boston University,United States,America
55,Kyoto University,Japan,Asia
56,Chinese University of Hong Kong,Hong Kong,Asia
57,The Hong Kong University of Science and Technology,Hong Kong,Asia
58,University of North Carolina at Chapel Hill,United States,America
59,Australian National University,Australia,Oceania
60,Seoul National University,South Korea,Asia
61,Brown University,United States,America
62,The University of Queensland,Australia,Oceania
63,Wageningen University & Research,Netherlands,Europe
64,"University of California, Davis",United States,America
65,Monash University,Australia,Oceania
66,University of Amsterdam,Netherlands,Europe
67,UNSW Sydney,Australia,Oceania
68,"University of California, Santa Barbara",United States,America
69,McMaster University,Canada,America
70,Fudan University,China,Asia
71,Leiden University,Netherlands,Europe
72,Erasmus University Rotterdam,Netherlands,Europe
73,University of Montreal,Canada,America
74,University of Zurich,Switzerland,Europe
75,Charité - Universitätsmedizin Berlin,Germany,Europe
76,Utrecht University,Netherlands,Europe
77,University of Warwick,United Kingdom,Europe
78,Delft University of Technology,Netherlands,Europe
79,University of Tübingen,Germany,Europe
80,University of Groningen,Netherlands,Europe
81,Humboldt University of Berlin,Germany,Europe
82,Ohio State University (Main campus),United States,America
83,University of Freiburg,Germany,Europe
84,University of Copenhagen,Denmark,Europe
85,Emory University,United States,America
86,University of Minnesota,United States,America
87,École Polytechnique,France,Europe
88,University of Science and Technology of China,China,Asia
89,Sorbonne University,France,Europe
90,"University of Maryland, College Park",United States,America
91,University of Bristol,United Kingdom,Europe
92,University of Basel,Switzerland,Europe
93,University of Glasgow,United Kingdom,Europe
94,Purdue University West Lafayette,United States,America
95,Zhejiang University,China,Asia
96,Korea Advanced Institute of Science and Technology (KAIST),South Korea,Asia
97,National Taiwan University (NTU),Taiwan,Asia
98,"University of California, Irvine",United States,America
99,University of Helsinki,Finland,Europe
100,Shanghai Jiao Tong University,China,Asia
101,Dartmouth College,United States,America
102,Sungkyunkwan University (SKKU),South Korea,Asia
103,Ghent University,Belgium,Europe
104,Lund University,Sweden,Europe
105,Michigan State University,United States,America
106,Aarhus University,Denmark,Europe
107,University of Birmingham,United Kingdom,Europe
108,RWTH Aachen University,Germany,Europe
109,University of Bern,Switzerland,Europe
110,Queen Mary University of London,United Kingdom,Europe
111,Nanjing University,China,Asia
112,Uppsala University,Sweden,Europe
113,Vanderbilt University,United States,America
114,University of Bonn,Germany,Europe
115,Penn State (Main campus),United States,America
116,Vrije Universiteit Amsterdam,Netherlands,Europe
117,University of Virginia (Main campus),United States,America
118,University of Adelaide,Australia,Oceania
119,Free University of Berlin,Germany,Europe
120,Georgetown University,United States,America
121,Case Western Reserve University,United States,America
122,Maastricht University,Netherlands,Europe
123,University of Sheffield,United Kingdom,Europe
124,University of Arizona,United States,America
125,Rice University,United States,America
126,City University of Hong Kong,Hong Kong,Asia
127,University of Oslo,Norway,Europe
128,University of Southampton,United Kingdom,Europe
129,Hong Kong Polytechnic University,Hong Kong,Asia
130,University of Göttingen,Germany,Europe
131,University of Alberta,Canada,America
132,University of Colorado Boulder,United States,America
133,University of Pittsburgh-Pittsburgh campus,United States,America
134,University of York,United Kingdom,Europe
135,University of Hamburg,Germany,Europe
136,Lancaster University,United Kingdom,Europe
137,University of Paris,France,Europe
138,Radboud University Nijmegen,Netherlands,Europe
139,The University of Western Australia,Australia,Oceania
140,Indiana University,United States,America
141,University of Mannheim,Germany,Europe
142,Technical University of Berlin,Germany,Europe
143,Ulm University,Germany,Europe
144,University of Würzburg,Germany,Europe
145,University of Cologne,Germany,Europe
146,University of Ottawa,Canada,America
147,University of Auckland,New Zealand,Oceania
148,University of Rochester,United States,America
149,Durham University,United Kingdom,Europe
150,University of Geneva,Switzerland,Europe
151,Pohang University of Science and Technology (POSTECH),South Korea,Asia
152,University of Florida,United States,America
153,Pompeu Fabra University,Spain,Europe
154,TU Dresden,Germany,Europe
155,University of Cape Town,South Africa,Africa
156,Trinity College Dublin,Ireland,Europe
157,Tufts University,United States,America
158,Bielefeld University,Germany,Europe
159,University of Nottingham,United Kingdom,Europe
160,University of Leeds,United Kingdom,Europe
